time,sample_valid,qc_ok,hour,cams_pm25_x16,pa_pm25_x16,expected_result_valid,actual_result_valid,expected_accepted,actual_accepted,expected_alert_level,actual_alert_level,expected_alert_state,actual_alert_state,expected_fused_pm25_x16,actual_fused_pm25_x16,expected_bias_state_x16,actual_bias_state_x16,match
2024-12-31T17:00:00Z,1,0,0,502,0,1,1,0,0,1,1,0,0,502,502,0,0,1
2024-12-31T18:00:00Z,1,0,1,546,0,1,1,0,0,1,1,0,0,546,546,0,0,1
2024-12-31T19:00:00Z,1,0,2,549,0,1,1,0,0,1,1,0,0,549,549,0,0,1
2024-12-31T20:00:00Z,1,0,3,536,0,1,1,0,0,1,1,0,0,536,536,0,0,1
2024-12-31T21:00:00Z,1,0,4,498,0,1,1,0,0,1,1,0,0,498,498,0,0,1
2024-12-31T22:00:00Z,1,0,5,456,0,1,1,0,0,1,1,0,0,456,456,0,0,1
2024-12-31T23:00:00Z,1,0,6,435,0,1,1,0,0,1,1,0,0,435,435,0,0,1
2025-01-01T00:00:00Z,1,0,7,579,0,1,1,0,0,2,2,1,1,579,579,0,0,1
2025-01-01T01:00:00Z,1,0,8,597,0,1,1,0,0,2,2,1,1,597,597,0,0,1
2025-01-01T02:00:00Z,1,0,9,590,0,1,1,0,0,2,2,1,1,590,590,0,0,1
2025-01-01T03:00:00Z,1,0,10,592,0,1,1,0,0,2,2,1,1,592,592,0,0,1
2025-01-01T04:00:00Z,1,0,11,538,0,1,1,0,0,1,1,1,1,538,538,0,0,1
2025-01-01T05:00:00Z,1,0,12,461,0,1,1,0,0,1,1,0,0,461,461,0,0,1
2025-01-01T06:00:00Z,1,0,13,416,0,1,1,0,0,1,1,0,0,416,416,0,0,1
2025-01-01T07:00:00Z,1,0,14,446,0,1,1,0,0,1,1,0,0,446,446,0,0,1
2025-01-01T08:00:00Z,1,0,15,496,0,1,1,0,0,1,1,0,0,496,496,0,0,1
2025-01-01T09:00:00Z,1,0,16,570,0,1,1,0,0,2,2,1,1,570,570,0,0,1
2025-01-01T10:00:00Z,1,0,17,742,0,1,1,0,0,2,2,1,1,742,742,0,0,1
2025-01-01T11:00:00Z,1,0,18,1200,0,1,1,0,0,3,3,1,1,1200,1200,0,0,1
2025-01-01T12:00:00Z,1,0,19,851,0,1,1,0,0,2,2,1,1,851,851,0,0,1
2025-01-01T13:00:00Z,1,0,20,1136,0,1,1,0,0,3,3,1,1,1136,1136,0,0,1
2025-01-01T14:00:00Z,1,0,21,1296,0,1,1,0,0,3,3,1,1,1296,1296,0,0,1
2025-01-01T15:00:00Z,1,0,22,1434,0,1,1,0,0,3,3,1,1,1434,1434,0,0,1
