time,sample_valid,qc_ok,hour,cams_pm25_x16,pa_pm25_x16,expected_result_valid,actual_result_valid,expected_accepted,actual_accepted,expected_alert_level,actual_alert_level,expected_alert_state,actual_alert_state,expected_fused_pm25_x16,actual_fused_pm25_x16,expected_bias_state_x16,actual_bias_state_x16,match
0,1,1,0,448,288,1,1,1,1,1,1,0,0,448,448,-20,-20,1
1,1,0,1,472,320,1,1,0,0,1,1,0,0,452,452,-20,-20,1
2,1,1,2,496,360,1,1,1,1,1,1,0,0,476,476,-35,-35,1
3,1,1,3,544,416,1,1,1,1,1,1,0,0,509,509,-47,-47,1
4,1,0,4,592,464,1,1,0,0,1,1,0,0,545,545,-47,-47,1
5,1,1,5,640,512,1,1,1,1,2,2,1,1,593,593,-58,-58,1
6,1,0,6,576,440,1,1,0,0,1,1,1,1,518,518,-58,-58,1
7,1,1,7,528,384,1,1,1,1,1,1,0,0,470,470,-69,-69,1
8,1,1,8,480,328,1,1,1,1,1,1,0,0,411,411,-80,-80,1
9,1,0,9,432,272,1,1,0,0,1,1,0,0,352,352,-80,-80,1
10,1,1,10,400,240,1,1,1,1,1,1,0,0,320,320,-90,-90,1
11,1,1,11,464,312,1,1,1,1,1,1,0,0,374,374,-98,-98,1
12,1,0,12,560,416,1,1,0,0,1,1,0,0,462,462,-98,-98,1
13,1,1,13,624,480,1,1,1,1,1,1,0,0,526,526,-104,-104,1
14,1,0,14,512,368,1,1,0,0,1,1,0,0,408,408,-104,-104,1
15,1,1,15,448,296,1,1,1,1,1,1,0,0,344,344,-110,-110,1
