time,sample_valid,qc_ok,hour,cams_pm25_x16,pa_pm25_x16,expected_result_valid,actual_result_valid,expected_accepted,actual_accepted,expected_alert_level,actual_alert_level,expected_alert_state,actual_alert_state,expected_fused_pm25_x16,actual_fused_pm25_x16,expected_bias_state_x16,actual_bias_state_x16,match
0,1,0,0,191,191,1,1,0,0,0,0,0,0,191,191,0,0,1
1,1,0,1,192,192,1,1,0,0,0,0,0,0,192,192,0,0,1
2,1,0,2,193,193,1,1,0,0,1,1,0,0,193,193,0,0,1
3,1,0,3,565,565,1,1,0,0,1,1,0,0,565,565,0,0,1
4,1,0,4,566,566,1,1,0,0,1,1,1,1,566,566,0,0,1
5,1,0,5,567,567,1,1,0,0,2,2,1,1,567,567,0,0,1
6,1,0,6,885,885,1,1,0,0,2,2,1,1,885,885,0,0,1
7,1,0,7,886,886,1,1,0,0,2,2,1,1,886,886,0,0,1
8,1,0,8,887,887,1,1,0,0,3,3,1,1,887,887,0,0,1
9,1,0,9,2405,2405,1,1,0,0,3,3,1,1,2405,2405,0,0,1
10,1,0,10,2406,2406,1,1,0,0,3,3,1,1,2406,2406,0,0,1
11,1,0,11,2407,2407,1,1,0,0,4,4,1,1,2407,2407,0,0,1
